iter	RMSE
0	0.2858390038
1	0.2780301045
2	0.2713588676
3	0.2658760603
4	0.2612176687
5	0.2573610406
6	0.2541177468
7	0.2514323709
8	0.2490464662
9	0.2471559555
10	0.245588706
11	0.2442686193
12	0.243094591
13	0.2420444917
14	0.2411847598
15	0.2404474693
16	0.2398617384
17	0.2393489827
18	0.2386814085
19	0.2381740017
20	0.2377153619
21	0.2373388977
22	0.2370128138
23	0.2367257173
24	0.2364860047
25	0.2362595174
26	0.2360737437
27	0.2358749121
28	0.2357083603
29	0.2354286908
30	0.2352071165
31	0.2350051894
32	0.2348206563
33	0.2347144017
34	0.2345673844
35	0.2344646697
36	0.2343450079
37	0.2341977024
38	0.234094967
39	0.2339370552
40	0.2338667082
41	0.2337829261
42	0.2336894251
43	0.2335807549
44	0.2335158531
45	0.2334260502
46	0.2333396487
47	0.2332974177
48	0.2332057406
49	0.2331486171
