iter	Passed	Remaining
0	1305	63946
1	2016	48396
2	2733	42830
3	3928	45178
4	5008	45080
5	6312	46289
6	6943	42655
7	7252	38073
8	7953	36234
9	8528	34115
10	8816	31256
11	9112	28856
12	9799	27891
13	10653	27394
14	11413	26630
15	12340	26223
16	13359	25932
17	14272	25372
18	15473	25246
19	16607	24911
20	16886	23318
21	18054	22978
22	18329	21516
23	18950	20529
24	19480	19480
25	20140	18591
26	21246	18098
27	21846	17165
28	22959	16626
29	24069	16046
30	25154	15417
31	26228	14753
32	27334	14081
33	28135	13240
34	29316	12564
35	30404	11823
36	31024	10900
37	32130	10146
38	33206	9365
39	34416	8604
40	34960	7674
41	36111	6878
42	37327	6076
43	38466	5245
44	39072	4341
45	39700	3452
46	40815	2605
47	41830	1742
48	42963	876
49	43935	0
